timeframe,candidate_count,candidate_count_score,positive_label_ratio_proxy,temporal_diversity,regime_diversity,class_balance_proxy,oos_balance_proxy,ml_readiness_score,strategy_name,exit_model,parameter_set_id
M15,2247,1.0,0.5144637294170005,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6354022733309711,trend_pullback,fixed_tp,9215c620e23e
M15,2533,1.0,0.5088827477299644,1.0,0.0,0.957757599684169,0.2576961271102284,0.6340946085651524,trend_pullback,fixed_tp,9fda9f9349e7
M15,2449,1.0,0.5108207431604737,1.0,0.0,0.9563086974275214,0.2571868583162218,0.6341884819936563,trend_pullback,fixed_tp,46596cff594d
M15,1916,1.0,0.34603340292275575,1.0,0.0,0.9968684759916493,0.24820846905537458,0.6059682223416047,trend_pullback,mr_exit,c6bb5c83f374
M15,1916,1.0,0.34603340292275575,1.0,0.0,0.9968684759916493,0.24820846905537458,0.6059682223416047,trend_pullback,mr_exit,ae1422a5b4d1
M15,1916,1.0,0.34603340292275575,1.0,0.0,0.9968684759916493,0.24820846905537458,0.6059682223416047,trend_pullback,mr_exit,5e23922e5156
M15,2533,1.0,0.6596920647453612,1.0,0.0,0.957757599684169,0.2576961271102284,0.6642564719682318,trend_pullback,fixed_tp,d01afb4fd74e
M15,2247,1.0,0.516243880729862,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6357583035935435,trend_pullback,fixed_tp_plus_mr,9215c620e23e
M15,1750,1.0,0.3577142857142857,1.0,0.0,0.9931428571428571,0.25178826895565093,0.6082825260576332,trend_pullback,mr_exit,f7e7a521a8eb
M15,1750,1.0,0.3577142857142857,1.0,0.0,0.9931428571428571,0.25178826895565093,0.6082825260576332,trend_pullback,mr_exit,0dcf5cfd713b
M15,1750,1.0,0.3577142857142857,1.0,0.0,0.9931428571428571,0.25178826895565093,0.6082825260576332,trend_pullback,mr_exit,c90c6d318f1f
M15,2247,1.0,0.6671117044948821,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6659318683465474,trend_pullback,fixed_tp,d4727b31a3e2
M15,2102,1.0,0.5019029495718363,1.0,0.0,0.9562321598477641,0.25642558278541544,0.6322792513093443,trend_pullback,fixed_tp,de4225693312
M15,2449,1.0,0.6594528378930176,1.0,0.0,0.9563086974275214,0.2571868583162218,0.663914900940165,trend_pullback,fixed_tp,d0e0e5b3e49a
M15,2533,1.0,0.5120410580339518,1.0,0.0,0.957757599684169,0.2576961271102284,0.6347262706259499,trend_pullback,fixed_tp_plus_mr,9fda9f9349e7
M15,2533,1.0,0.6628503750493486,1.0,0.0,0.957757599684169,0.2576961271102284,0.6648881340290292,trend_pullback,fixed_tp_plus_mr,d01afb4fd74e
M15,3383,1.0,0.483003251551877,1.0,0.0,0.9902453443689034,0.25435669262143124,0.6332909558589256,trend_pullback,fixed_tp,ec7e4e293de5
M15,2247,1.0,0.6702269692923899,1.0,0.0,0.9586114819759679,0.25811870100783874,0.666554921306049,trend_pullback,fixed_tp_plus_mr,d4727b31a3e2
M15,2247,1.0,0.44058744993324434,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6206270174342199,trend_pullback,fixed_tp,a75047e3d3ba
M15,2449,1.0,0.5128623928133932,1.0,0.0,0.9563086974275214,0.2571868583162218,0.6345968119242402,trend_pullback,fixed_tp_plus_mr,46596cff594d
M15,2102,1.0,0.6579448144624167,1.0,0.0,0.9562321598477641,0.25642558278541544,0.6634876242874603,trend_pullback,fixed_tp,84ebd22839a6
M15,2533,1.0,0.43821555467824713,1.0,0.0,0.957757599684169,0.2576961271102284,0.619961169954809,trend_pullback,fixed_tp,875670c50f80
M15,2102,1.0,0.5033301617507137,1.0,0.0,0.9562321598477641,0.25642558278541544,0.6325646937451197,trend_pullback,fixed_tp_plus_mr,de4225693312
M15,1976,1.0,0.5086032388663968,1.0,0.0,0.9595141700404859,0.2522179974651457,0.6334804728991241,trend_pullback,fixed_tp,7146a414432f
M15,2449,1.0,0.6627194773376889,1.0,0.0,0.9563086974275214,0.2571868583162218,0.6645682288290993,trend_pullback,fixed_tp_plus_mr,d0e0e5b3e49a
M15,2247,1.0,0.6742323097463284,1.0,0.0,0.9586114819759679,0.25811870100783874,0.6673559893968367,trend_pullback,fixed_tp,95e1fa81b201
M15,2102,1.0,0.44053282588011416,1.0,0.0,0.9562321598477641,0.25642558278541544,0.6200052265709999,trend_pullback,fixed_tp,c694e28d1dcc
M15,2962,1.0,0.47940580688723833,1.0,0.0,0.9925725860904795,0.25031658927817646,0.6323145376827461,trend_pullback,fixed_tp,b2f41d0271fe
M15,3209,1.0,0.4746026799626052,1.0,0.0,0.9884699283265814,0.2520483808037456,0.6309982823620701,trend_pullback,fixed_tp,1abe1d6423ba
M15,3383,1.0,0.49748743718592964,1.0,0.0,0.9902453443689034,0.25435669262143124,0.6361877929857361,trend_pullback,fixed_tp,1671a81103c0
