timeframe,strategy_name,exit_model,parameter_set,profit_factor,sharpe,sortino,calmar,max_drawdown,expectancy,win_rate,trade_count,profit_per_trade,parameter_stability_score,robust_score,leg_c_lot_rule
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4743326099764649,6.328620837908793,9.919438570381306,77.58948017732921,25.005495140109108,13.580238237268775,0.5972935137657489,2143,13.580238237268775,7.593952417393255,8.465228492866329,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4550725264566124,6.52109929550241,10.217821271881725,90.63595439928146,23.128465638984803,13.123563587105865,0.5918196994991652,2396,13.123563587105865,7.447712211939396,8.235732256151103,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4426758686135566,6.27152693333119,9.831851034821785,85.84594461206223,23.19618625238948,12.830531702536772,0.5919243986254296,2328,12.830531702536772,7.447712211939396,8.130691764983311,A_if_A_hits_first_else_B
M15,trend_pullback,mr_exit,"{""adx_threshold"": 25.0, ""atr_stop"": 3.0, ""atr_target"": 2.5, ""confirmation_bars"": 1, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.2423024118428074,1.4825459857524725,6.347835202142314,5.749434603525371,195.9320063529847,12.743192955475148,0.2971342383107089,1326,12.743192955475148,4.473938169080327,6.721850192871011,A_if_A_hits_first_else_B
M15,trend_pullback,mr_exit,"{""adx_threshold"": 25.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.2423024118428074,1.4825459857524725,6.347835202142314,5.749434603525371,195.9320063529847,12.743192955475148,0.2971342383107089,1326,12.743192955475148,4.473938169080324,6.721850192871009,A_if_A_hits_first_else_B
M15,trend_pullback,mr_exit,"{""adx_threshold"": 25.0, ""atr_stop"": 3.0, ""atr_target"": 3.0, ""confirmation_bars"": 1, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.2423024118428074,1.4825459857524725,6.347835202142314,5.749434603525371,195.9320063529847,12.743192955475148,0.2971342383107089,1326,12.743192955475148,4.473938169080324,6.721850192871009,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.566285476093001,7.816742501464835,10.448552841010889,146.01161586017466,15.605279626078936,12.303197052665507,0.628869690424766,2778,12.303197052665507,8.411888835782522,8.404726039753662,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp_plus_mr,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4442221957017287,6.037194109886906,8.799466868299636,64.29257740760565,27.143176838515927,12.163834558401136,0.5971189591078067,2152,12.163834558401136,6.027943009970585,7.2587608890675055,A_if_A_hits_first_else_B
M15,trend_pullback,mr_exit,"{""adx_threshold"": 25.0, ""atr_stop"": 3.0, ""atr_target"": 2.5, ""confirmation_bars"": 2, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.2251963476164045,1.3450715596333025,5.605271559298032,6.144599647349036,164.24310108161768,12.091151369636025,0.3035143769968051,1252,12.091151369636025,4.473938169080327,6.490214424982037,A_if_A_hits_first_else_B
M15,trend_pullback,mr_exit,"{""adx_threshold"": 25.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.2251963476164045,1.3450715596333025,5.605271559298032,6.144599647349036,164.24310108161768,12.091151369636025,0.3035143769968051,1252,12.091151369636025,4.473938169080324,6.490214424982036,A_if_A_hits_first_else_B
M15,trend_pullback,mr_exit,"{""adx_threshold"": 25.0, ""atr_stop"": 3.0, ""atr_target"": 3.0, ""confirmation_bars"": 2, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.2251963476164045,1.3450715596333025,5.605271559298032,6.144599647349036,164.24310108161768,12.091151369636025,0.3035143769968051,1252,12.091151369636025,4.473938169080324,6.490214424982036,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.5479409866788854,7.130243756976113,9.49003761776342,120.26394273208138,16.543264355411278,12.004574801131556,0.6295253419147224,2486,12.004574801131556,8.39651821377555,8.289622573930819,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4011551650403138,5.260354927905157,8.011430159112793,53.71779461025301,29.405810150497963,11.97888222961989,0.5945399393326593,1978,11.97888222961989,7.593952417393255,7.890118401201988,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.5335124524892596,7.316973572449676,9.749875668886274,134.60693239975177,15.687472554071357,11.766210387865051,0.6270430906389302,2692,11.766210387865051,8.411888835782522,8.210226102352754,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp_plus_mr,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4358580877240033,6.312246604343052,9.26740165798435,73.8731571640855,25.622602361674385,11.756661684576649,0.5950310559006211,2415,11.756661684576649,6.023881113562287,7.112749708249656,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp_plus_mr,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.56572005216833,7.864580450932983,10.041143004906589,127.16164089359177,16.923518955214934,11.541057061345747,0.6306757239899893,2797,11.541057061345747,7.359012539644071,7.664069624744508,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.3831740815634355,6.120507594894093,9.341519070320027,55.971212279848196,40.71554256117619,11.501841903335077,0.57907133243607,2972,11.501841903335077,5.476442714123051,6.766678703835336,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp_plus_mr,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.534361216603415,7.040022854219454,8.87114539349254,106.20894328903786,17.581740777066305,11.212999053927163,0.6293034427542034,2498,11.212999053927163,7.224759847488817,7.482563843565157,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 2.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.3138696428455003,4.359968572853315,7.397734513874302,55.01834290621174,26.651629970214568,11.108549369020734,0.5494949494949495,1980,11.108549369020734,7.345820182426435,7.456385289818252,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp_plus_mr,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4050877074386163,5.824446935629009,8.440822170886898,67.90010512025799,25.514508688143433,11.10062679634778,0.5929090132422042,2341,11.10062679634778,6.023881113562287,6.876983421312476,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4903414415397607,6.242496529138509,8.196379261562852,90.76237752436018,18.777967101973054,11.086294054093417,0.627059843885516,2306,11.086294054093417,8.39651821377555,7.9567044034396455,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 2.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.3131758553948487,4.647358288334098,7.834290699216995,63.2571441666772,25.88492761698557,11.063558094673406,0.5495495495495496,2220,11.063558094673406,7.133306328277532,7.344868351939552,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp_plus_mr,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.384571068873943,5.142039069750011,7.5098513253891825,44.6914135407801,32.090945437208994,10.843168196438386,0.5952620967741935,1984,10.843168196438386,6.027943009970585,6.784597437014987,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 20.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.3609744754602175,4.728240258670924,6.980238821078176,47.0311907855374,28.677437961767083,10.784120917006513,0.593816631130064,1876,10.784120917006513,7.593952417393255,7.463915803871288,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp_plus_mr,"{""adx_threshold"": 15.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.5113445175407614,7.094009268297332,8.913566048667688,114.49999228892872,16.88962084818652,10.711935691729812,0.6266617429837519,2708,10.711935691729812,7.359012539644071,7.363002038453418,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 2.5, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.4957847627608751,6.69146366224752,9.504102617474912,107.41892478816031,16.970028289793994,10.69359909570397,0.6003128666405945,2557,10.69359909570397,7.416478642520902,7.37933202518297,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 2.0, ""pullback_rsi"": 25, ""session_filter"": ""NY""}",1.300130240566693,4.025203568885931,6.671796615257806,40.41435315096738,32.64603870813643,10.686030269957705,0.5539956803455723,1852,10.686030269957705,7.345820182426435,7.305755724690431,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 20.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.3503276950936691,5.2945769448578455,8.056982271813029,43.96920766058505,41.84498317126704,10.635206674052766,0.5764932562620424,2595,10.635206674052766,5.476442714123051,6.456787096292574,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 3.0, ""atr_target"": 2.0, ""confirmation_bars"": 2, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.3429415893021899,5.379624191861259,8.061117313164292,47.892417424471724,41.341375171577525,10.614394549422178,0.5800571837026447,2798,10.614394549422178,5.476442714123051,6.448025631513573,A_if_A_hits_first_else_B
M15,trend_pullback,fixed_tp,"{""adx_threshold"": 18.0, ""atr_stop"": 2.5, ""atr_target"": 2.0, ""confirmation_bars"": 1, ""leg_a_atr_target"": 1.5, ""pullback_rsi"": 30, ""session_filter"": ""NY""}",1.3727864195655632,6.0816439629442085,10.127899670693894,55.83032535062932,39.309548174131045,10.60907926497571,0.5394779245891073,3103,10.60907926497571,4.537139253387235,6.029447690678866,A_if_A_hits_first_else_B
